deck,nofGames,nOfPlayers,winRate
archers;arrows;baby-dragon;bandit;elixir-collector;golem;lightning;night-witch,130,32,0.48496
archers;arrows;bomber;fireball;giant;knight;minions;musketeer,150,14,0.49673
archers;arrows;bomber;goblin-gang;knight;minions;royal-giant;zap,129,15,0.56439
archers;arrows;bowler;fireball;graveyard;knight;mega-minion;tombstone,343,46,0.53757
archers;arrows;bowler;freeze;graveyard;inferno-tower;mega-minion;skeleton-army,330,16,0.51952
archers;arrows;bowler;freeze;graveyard;knight;mega-minion;tombstone,4940,568,0.56545
archers;arrows;bowler;freeze;graveyard;knight;minions;tombstone,961,107,0.54409
archers;arrows;bowler;freeze;graveyard;mega-minion;tesla;valkyrie,912,80,0.56885
archers;arrows;bowler;furnace;giant;lightning;mega-minion;the-log,279,25,0.59043
archers;arrows;bowler;giant;graveyard;inferno-tower;mega-minion;zap,180,10,0.54098
archers;arrows;bowler;giant;graveyard;mega-minion;mini-pekka;zap,794,57,0.53576
archers;arrows;bowler;giant;graveyard;mega-minion;skeleton-army;zap,176,25,0.52793
archers;arrows;bowler;giant;graveyard;mega-minion;tombstone;zap,893,94,0.57533
archers;arrows;bowler;giant;lightning;mega-minion;tesla;the-log,358,14,0.54848
archers;arrows;bowler;giant;mega-minion;mini-pekka;poison;zap,235,25,0.57563
archers;arrows;bowler;graveyard;ice-golem;mega-minion;poison;tombstone,179,14,0.59066
archers;arrows;bowler;graveyard;inferno-tower;mega-minion;poison;valkyrie,985,173,0.53391
archers;arrows;bowler;lightning;mega-minion;royal-giant;tombstone;zap,193,10,0.48469
archers;arrows;electro-wizard;knight;mortar;rocket;skeletons;the-log,227,44,0.55652
archers;arrows;elixir-collector;golem;ice-spirit;mega-knight;mega-minion;night-witch,353,17,0.51685
archers;arrows;elixir-collector;golem;lightning;lumberjack;mega-minion;night-witch,301,36,0.56579
archers;arrows;fire-spirits;knight;mortar;rocket;tesla;the-log,204,14,0.50725
archers;arrows;fireball;giant;mega-minion;mini-pekka;prince;zap,118,18,0.58264
archers;arrows;fireball;knight;mega-minion;royal-giant;tesla;the-log,348,49,0.52849
archers;arrows;furnace;graveyard;ice-golem;mega-minion;pekka;poison,301,44,0.51809
archers;arrows;furnace;lightning;mega-minion;royal-giant;the-log;valkyrie,115,12,0.56356
archers;arrows;giant;goblin-gang;graveyard;mega-minion;skeleton-army;zap,214,16,0.56452
archers;arrows;giant;goblin-gang;minions;skeleton-army;sparky;zap,129,15,0.56439
archers;arrows;goblin-gang;hog-rider;knight;mortar;rocket;the-log,145,21,0.5473
archers;arrows;goblin-gang;inferno-tower;knight;mortar;rocket;the-log,324,27,0.49541
archers;arrows;golem;lightning;mega-minion;mini-pekka;the-log;tombstone,831,77,0.53897
archers;arrows;hog-rider;ice-spirit;knight;mega-minion;mortar;tornado,245,96,0.35484
archers;arrows;ice-spirit;ice-wizard;knight;mortar;rocket;the-log,184,34,0.56952
archers;arrows;ice-spirit;knight;mortar;rocket;skeleton-army;the-log,253,45,0.49023
archers;arrows;ice-spirit;knight;mortar;rocket;skeletons;tesla,466,109,0.52452
archers;arrows;ice-spirit;knight;mortar;rocket;skeletons;the-log,31240,5189,0.53841
archers;arrows;ice-spirit;mortar;rocket;skeletons;the-log;valkyrie,513,58,0.51938
archers;arrows;ice-wizard;knight;mortar;rocket;skeletons;the-log,297,55,0.56
archers;arrows;knight;mega-minion;miner;rocket;the-log;tombstone,242,24,0.46122
archers;baby-dragon;barbarian-barrel;bowler;freeze;graveyard;tombstone;tornado,147,12,0.51667
archers;baby-dragon;barbarian-barrel;fireball;furnace;golem;lumberjack;mega-minion,561,166,0.50089
archers;baby-dragon;barbarian-barrel;freeze;furnace;graveyard;pekka;poison,10258,1735,0.53323
archers;baby-dragon;barbarian-barrel;furnace;graveyard;pekka;poison;zap,189,14,0.51302
archers;baby-dragon;barbarian-barrel;golem;lightning;lumberjack;mega-minion;night-witch,219,41,0.53829
archers;baby-dragon;barbarians;fireball;furnace;mega-minion;royal-giant;the-log,285,23,0.57639
archers;baby-dragon;bats;fireball;golem;mini-pekka;night-witch;zap,151,12,0.47403
archers;baby-dragon;bowler;graveyard;knight;poison;tombstone;tornado,220,34,0.47982
archers;baby-dragon;bowler;lightning;mega-minion;royal-giant;the-log;tornado,319,12,0.5
archers;baby-dragon;electro-wizard;golem;lightning;mega-minion;the-log;tombstone,287,36,0.53621
archers;baby-dragon;elite-barbarians;fireball;golem;mega-minion;night-witch;zap,118,19,0.50826
archers;baby-dragon;elixir-collector;fireball;goblin-gang;golem;night-witch;zap,193,21,0.54847
archers;baby-dragon;elixir-collector;fireball;golem;mini-pekka;night-witch;zap,321,19,0.52315
archers;baby-dragon;elixir-collector;golem;lightning;lumberjack;mega-minion;the-log,218,23,0.61312
archers;baby-dragon;fireball;goblin-gang;golem;mini-pekka;night-witch;zap,183,29,0.50806
archers;baby-dragon;fireball;golem;lumberjack;mega-minion;night-witch;zap,935,178,0.55011
archers;baby-dragon;fireball;golem;mega-minion;mini-pekka;night-witch;zap,603,145,0.55693
archers;baby-dragon;fireball;golem;mega-minion;mini-pekka;the-log;zap,545,62,0.53102
archers;baby-dragon;fireball;golem;mega-minion;night-witch;tornado;zap,246,56,0.55422
archers;baby-dragon;fireball;golem;mini-pekka;night-witch;tornado;zap,540,41,0.53775
archers;baby-dragon;fireball;hog-rider;ice-spirit;knight;pekka;zap,133,11,0.4375
archers;baby-dragon;fireball;hog-rider;knight;musketeer;pekka;zap,152,12,0.55806
archers;baby-dragon;furnace;golem;lightning;mega-minion;night-witch;the-log,253,22,0.54883
archers;baby-dragon;goblin-gang;golem;lightning;lumberjack;night-witch;zap,125,25,0.55078
archers;baby-dragon;goblin-gang;golem;lightning;mega-minion;the-log;tombstone,365,27,0.5462
archers;baby-dragon;goblin-gang;golem;lightning;mini-pekka;night-witch;zap,122,21,0.572
archers;baby-dragon;golem;ice-golem;lightning;mega-minion;the-log;tombstone,114,17,0.62393
archers;baby-dragon;golem;lightning;lumberjack;mega-minion;mini-pekka;zap,199,16,0.5297
archers;baby-dragon;golem;lightning;lumberjack;mega-minion;night-witch;zap,596,152,0.5384
archers;baby-dragon;golem;lightning;lumberjack;mega-minion;the-log;tombstone,370,66,0.57373
archers;baby-dragon;golem;lightning;lumberjack;mega-minion;the-log;tornado,116,24,0.57563
archers;baby-dragon;golem;lightning;mega-minion;mini-pekka;night-witch;zap,840,113,0.53381
archers;baby-dragon;golem;lightning;mega-minion;mini-pekka;tombstone;zap,460,67,0.53888
archers;baby-dragon;golem;lightning;mega-minion;mini-pekka;valkyrie;zap,149,13,0.61184
archers;baby-dragon;golem;lightning;mega-minion;night-witch;the-log;zap,148,24,0.5298
archers;baby-dragon;golem;lightning;mega-minion;night-witch;tombstone;zap,545,96,0.51369
archers;baby-dragon;golem;lightning;mega-minion;night-witch;valkyrie;zap,172,21,0.53143
archers;baby-dragon;golem;lightning;mega-minion;the-log;tombstone;tornado,489,36,0.54167
archers;baby-dragon;golem;lightning;mini-pekka;night-witch;the-log;zap,228,24,0.56061
archers;baby-dragon;golem;lumberjack;mega-minion;poison;tombstone;zap,147,23,0.57
archers;balloon;barbarian-barrel;bats;giant-snowball;ice-golem;lumberjack;miner,115,41,0.44068
archers;balloon;barbarian-barrel;fireball;freeze;guards;lumberjack;mega-minion,427,166,0.44419
archers;balloon;barbarian-barrel;freeze;giant-snowball;goblins;lumberjack;mega-minion,539,118,0.48524
archers;balloon;barbarian-barrel;freeze;giant-snowball;guards;lumberjack;minions,213,50,0.46991
archers;balloon;barbarian-barrel;freeze;giant-snowball;hunter;lumberjack;mini-pekka,214,47,0.47005
archers;balloon;barbarian-barrel;freeze;giant-snowball;lumberjack;mega-minion;valkyrie,380,85,0.55222
archers;balloon;barbarian-barrel;freeze;goblin-gang;lumberjack;mega-minion;zap,199,73,0.51238
archers;balloon;barbarian-barrel;freeze;lumberjack;mega-minion;skeleton-army;zap,194,40,0.48223
archers;balloon;barbarian-barrel;freeze;lumberjack;mega-minion;valkyrie;zap,117,25,0.50833
archers;balloon;fireball;giant;goblin-gang;mega-minion;mini-pekka;zap,187,17,0.58684
archers;balloon;fireball;giant;knight;minions;mini-pekka;zap,116,20,0.57563
archers;balloon;fireball;giant;mega-minion;mini-pekka;the-log;zap,156,11,0.55031
archers;balloon;fireball;ice-spirit;knight;skeletons;tesla;zap,240,44,0.54115
archers;balloon;fireball;lava-hound;mega-minion;skeleton-army;tombstone;zap,168,35,0.55556
archers;balloon;freeze;lumberjack;skeleton-army;valkyrie;wizard;zap,129,12,0.50379
archers;bandit;barbarians;goblin-gang;hog-rider;ice-spirit;the-log;zap,233,52,0.52966
archers;bandit;bats;electro-wizard;hog-rider;pekka;poison;zap,133,25,0.58824
archers;bandit;battle-ram;dark-prince;minions;pekka;poison;zap,122,15,0.496
archers;bandit;battle-ram;electro-wizard;fireball;pekka;royal-ghost;zap,222,29,0.54667
archers;bandit;battle-ram;electro-wizard;furnace;pekka;poison;zap,113,12,0.53448
archers;bandit;battle-ram;executioner;fireball;pekka;tornado;zap,203,22,0.50485
archers;bandit;battle-ram;executioner;pekka;poison;tornado;zap,124,12,0.54724
archers;bandit;battle-ram;goblin-gang;minions;pekka;poison;zap,227,46,0.58913
archers;barbarian-barrel;barbarian-hut;battle-ram;fireball;flying-machine;goblin-gang;royal-recruits,130,30,0.54135
archers;barbarian-barrel;barbarian-hut;battle-ram;flying-machine;goblin-gang;poison;royal-recruits,168,13,0.56433
archers;barbarian-barrel;barbarian-hut;freeze;graveyard;mega-minion;poison;valkyrie,129,15,0.56439
archers;barbarian-barrel;barbarians;fireball;furnace;mega-minion;royal-giant;zap,670,67,0.51189
archers;barbarian-barrel;barbarians;fireball;ice-wizard;minions;royal-giant;zap,141,26,0.59028
archers;barbarian-barrel;barbarians;furnace;ice-wizard;lightning;mega-minion;royal-giant,114,11,0.55983
archers;barbarian-barrel;bats;battle-ram;fireball;goblin-gang;royal-giant;spear-goblins,118,12,0.55785
archers;barbarian-barrel;bats;dart-goblin;fireball;miner;mortar;rascals,113,19,0.47845
archers;barbarian-barrel;bats;fireball;hog-rider;knight;tesla;zap,149,13,0.56908
archers;barbarian-barrel;bats;ice-spirit;knight;mortar;rocket;tornado,297,68,0.49333
archers;barbarian-barrel;bats;miner;poison;royal-recruits;skeleton-barrel;tesla,680,97,0.48609
archers;barbarian-barrel;battle-ram;fireball;mega-minion;miner;pekka;zap,269,34,0.55515
archers;barbarian-barrel;bowler;freeze;giant-snowball;graveyard;inferno-dragon;tombstone,220,65,0.48206
archers;barbarian-barrel;fire-spirits;furnace;guards;lightning;mega-minion;royal-giant,114,12,0.57692
archers;barbarian-barrel;fire-spirits;furnace;lightning;mega-minion;mini-pekka;royal-giant,237,24,0.54583
archers;barbarian-barrel;fireball;fire-spirits;ice-golem;skeletons;tesla;x-bow,361,84,0.47253
archers;barbarian-barrel;fireball;fire-spirits;knight;skeletons;tesla;x-bow,466,67,0.53731
archers;barbarian-barrel;fireball;furnace;hog-rider;mega-minion;pekka;zap,160,10,0.63497
archers;barbarian-barrel;fireball;ice-golem;ice-spirit;inferno-tower;skeletons;x-bow,127,47,0.51538
archers;barbarian-barrel;fireball;ice-spirit;inferno-tower;knight;skeletons;x-bow,131,16,0.55224
archers;barbarian-barrel;freeze;graveyard;guards;mega-minion;poison;tesla,4360,776,0.4984
archers;barbarian-barrel;freeze;graveyard;mega-minion;poison;tesla;valkyrie,317,34,0.52969
archers;barbarian-barrel;furnace;graveyard;mega-minion;pekka;poison;zap,1499,410,0.53096
archers;barbarians;bowler;fireball;ice-wizard;minions;royal-giant;zap,364,39,0.5436
archers;barbarians;clone;dart-goblin;giant-skeleton;inferno-dragon;princess;skeleton-barrel,474,215,0.42453
archers;barbarians;elite-barbarians;fireball;hog-rider;minions;the-log;zap,604,27,0.52883
archers;barbarians;elixir-collector;fireball;giant;hog-rider;mega-minion;zap,187,13,0.55526
archers;barbarians;elixir-collector;fireball;giant;hog-rider;minion-horde;spear-goblins,175,10,0.46348
archers;barbarians;fire-spirits;freeze;hog-rider;minions;the-log;zap,333,31,0.56696
archers;barbarians;fireball;fire-spirits;hog-rider;ice-wizard;minions;zap,134,10,0.53285
archers;barbarians;fireball;furnace;hog-rider;knight;minions;the-log,149,10,0.57237
archers;barbarians;fireball;furnace;ice-wizard;minions;royal-giant;zap,466,49,0.4968
archers;barbarians;fireball;furnace;lightning;mega-minion;royal-giant;the-log,555,29,0.51613
archers;barbarians;fireball;furnace;mega-minion;mini-pekka;royal-giant;zap,114,22,0.54274
archers;barbarians;fireball;furnace;mega-minion;royal-giant;the-log;zap,5442,457,0.55519
archers;barbarians;fireball;furnace;miner;minions;royal-giant;zap,230,32,0.57296
archers;barbarians;fireball;furnace;musketeer;royal-giant;the-log;zap,257,24,0.57692
archers;barbarians;fireball;giant;mega-minion;miner;witch;zap,190,17,0.55699
archers;barbarians;fireball;giant;minions;musketeer;the-log;zap,128,14,0.60305
archers;barbarians;fireball;giant;minions;sparky;wizard;zap,157,12,0.49375
archers;barbarians;fireball;giant;minions;the-log;wizard;zap,240,13,0.55144
archers;barbarians;fireball;goblin-gang;miner;minions;royal-giant;zap,420,54,0.55674
archers;barbarians;fireball;goblins;hog-rider;minions;royal-giant;zap,137,16,0.575
archers;barbarians;fireball;hog-rider;ice-golem;mega-minion;the-log;zap,136,20,0.60791
archers;barbarians;fireball;hog-rider;ice-wizard;miner;minions;zap,191,18,0.5
archers;barbarians;fireball;hog-rider;ice-wizard;minions;the-log;zap,402,24,0.59877
archers;barbarians;fireball;hog-rider;knight;minions;royal-giant;zap,303,24,0.54412
archers;barbarians;fireball;hog-rider;mega-minion;royal-giant;the-log;zap,249,22,0.51786
archers;barbarians;fireball;ice-spirit;mega-minion;royal-giant;the-log;zap,348,32,0.54558
archers;barbarians;fireball;ice-wizard;miner;royal-giant;the-log;zap,113,11,0.63362
archers;barbarians;fireball;ice-wizard;minions;royal-giant;tesla;zap,120,16,0.59756
archers;barbarians;fireball;mega-minion;miner;royal-giant;the-log;zap,189,25,0.5625
archers;barbarians;fireball;miner;minions;royal-giant;the-log;zap,463,66,0.50858
archers;barbarians;furnace;goblin-gang;lightning;mega-minion;royal-giant;the-log,197,10,0.5675
archers;barbarians;furnace;goblin-gang;lightning;minions;royal-giant;the-log,362,12,0.56712
archers;barbarians;furnace;knight;lightning;minions;royal-giant;zap,209,13,0.54717
archers;barbarians;furnace;lightning;minions;royal-giant;the-log;zap,1027,76,0.56748
archers;barbarians;ice-wizard;miner;minions;royal-giant;the-log;zap,439,29,0.52149
archers;bats;battle-ram;fireball;giant;mini-pekka;witch;zap,346,16,0.50143
archers;bats;battle-ram;goblin-gang;miner;pekka;poison;zap,185,27,0.51862
archers;bats;cannon;fireball;goblin-gang;hog-rider;knight;zap,487,77,0.5102
archers;bats;cannon;fireball;hog-rider;knight;the-log;zap,788,88,0.54235
archers;bats;dark-prince;fireball;giant;goblin-gang;prince;zap,237,83,0.55208
archers;bats;dark-prince;giant;goblin-gang;poison;prince;zap,964,251,0.51396
archers;bats;electro-wizard;fireball;hog-rider;pekka;the-log;zap,197,21,0.4825
archers;bats;fireball;furnace;hog-rider;mini-pekka;the-log;valkyrie,117,13,0.62917
archers;bats;fireball;furnace;hog-rider;pekka;valkyrie;zap,122,19,0.564
archers;bats;fireball;giant;goblin-gang;minion-horde;sparky;zap,453,104,0.51316
archers;bats;fireball;giant;graveyard;mega-minion;skeleton-army;zap,319,51,0.52329
archers;bats;fireball;goblin-gang;hog-rider;ice-golem;pekka;zap,190,26,0.53627
archers;bats;fireball;goblin-gang;hog-rider;inferno-dragon;mega-knight;zap,424,57,0.53513
archers;bats;fireball;goblin-gang;hog-rider;inferno-tower;valkyrie;zap,308,50,0.55788
archers;bats;fireball;goblin-gang;hog-rider;mortar;pekka;the-log,490,68,0.54462
archers;bats;fireball;goblin-gang;hog-rider;mortar;rascals;the-log,625,133,0.57166
archers;bats;fireball;goblin-gang;hog-rider;mortar;the-log;valkyrie,531,63,0.53652
archers;bats;fireball;goblin-gang;miner;mortar;prince;zap,396,115,0.50877
archers;bats;fireball;hog-rider;ice-golem;ice-spirit;pekka;zap,435,129,0.50114
archers;bats;fireball;hog-rider;ice-golem;inferno-dragon;mega-knight;zap,203,41,0.50971
archers;bats;fireball;hog-rider;ice-spirit;inferno-tower;knight;zap,2618,538,0.50839
archers;bats;fireball;hog-rider;ice-spirit;inferno-tower;mega-knight;zap,163,11,0.44578
archers;bats;fireball;hog-rider;inferno-dragon;knight;mega-knight;zap,203,47,0.54369
archers;bats;fireball;hog-rider;knight;mortar;musketeer;zap,118,12,0.56198
archers;bats;fireball;hog-rider;knight;mortar;the-log;zap,381,51,0.55859
archers;bats;fireball;hog-rider;knight;pekka;tesla;zap,136,37,0.48201
archers;bats;fireball;hog-rider;knight;pekka;the-log;zap,362,43,0.53014
archers;bats;fireball;hog-rider;knight;skeletons;tesla;the-log,258,52,0.52299
archers;bats;fireball;hog-rider;mega-minion;pekka;the-log;zap,263,49,0.59962
archers;bats;fireball;hog-rider;mini-pekka;mortar;valkyrie;zap,130,14,0.55639
archers;bats;fireball;hog-rider;tesla;the-log;valkyrie;zap,351,52,0.48588
archers;bats;fireball;ice-golem;skeletons;tesla;the-log;x-bow,1330,232,0.5195
archers;bats;fireball;ice-spirit;knight;mortar;skeletons;the-log,190,42,0.55959
archers;bats;fireball;ice-spirit;knight;tesla;the-log;x-bow,1820,347,0.54114
archers;bats;fireball;ice-spirit;knight;tesla;x-bow;zap,173,38,0.59375
archers;bats;fireball;ice-wizard;knight;tesla;the-log;x-bow,172,11,0.50286
archers;bats;giant-snowball;graveyard;knight;mini-pekka;mortar;the-log,693,263,0.47917
archers;bats;giant;goblin-gang;mega-minion;poison;prince;zap,153,17,0.48397
archers;bats;goblin-gang;hog-rider;inferno-dragon;mega-knight;poison;zap,266,23,0.56506
archers;bats;goblin-gang;hog-rider;knight;mortar;the-log;zap,848,121,0.54642
archers;bats;goblin-gang;hog-rider;mortar;rascals;the-log;zap,466,135,0.50426
archers;bats;goblin-gang;knight;miner;poison;tesla;the-log,200,30,0.52463
archers;bats;goblin-gang;miner;mortar;pekka;poison;zap,157,30,0.50938
archers;bats;hog-rider;ice-golem;ice-spirit;lightning;mini-pekka;the-log,748,148,0.51931
archers;bats;hog-rider;ice-golem;ice-spirit;mini-pekka;rocket;zap,125,15,0.55078
archers;bats;hog-rider;ice-golem;lightning;mini-pekka;the-log;zap,195,17,0.47475
archers;bats;hog-rider;ice-spirit;knight;mortar;rocket;the-log,137,37,0.60357
archers;bats;hog-rider;ice-spirit;knight;poison;tesla;zap,317,60,0.50313
archers;bats;ice-spirit;knight;mortar;rocket;skeletons;the-log,309,78,0.46955
archers;bats;ice-spirit;knight;mortar;rocket;tesla;the-log,1038,259,0.54131
archers;bats;ice-spirit;mortar;rocket;the-log;tornado;valkyrie,252,61,0.56667
archers;bats;knight;miner;mortar;rocket;the-log;tornado,117,20,0.5125
archers;bats;knight;mortar;rocket;skeletons;the-log;tornado,345,73,0.48994
archers;battle-ram;dark-prince;electro-wizard;mega-minion;pekka;poison;zap,126,13,0.53876
archers;battle-ram;electro-wizard;goblin-gang;minions;pekka;poison;zap,281,31,0.59155
archers;battle-ram;elixir-collector;knight;minions;pekka;three-musketeers;zap,253,60,0.55273
archers;battle-ram;fireball;ice-spirit;mega-minion;miner;pekka;zap,2436,459,0.52952
archers;battle-ram;fireball;mega-minion;miner;pekka;the-log;zap,326,51,0.53951
archers;battle-ram;goblin-gang;mega-minion;miner;pekka;poison;zap,204,20,0.50483
archers;bomber;fireball;giant;knight;musketeer;witch;zap,265,31,0.46082
archers;bowler;cannon;freeze;graveyard;ice-golem;mega-minion;zap,396,23,0.599
archers;bowler;elite-barbarians;freeze;graveyard;ice-golem;mega-minion;zap,236,32,0.52301
archers;bowler;fireball;furnace;mega-minion;mini-pekka;royal-giant;zap,520,99,0.53346
archers;bowler;fireball;giant;graveyard;mega-minion;skeleton-army;zap,141,22,0.57292
archers;bowler;fireball;giant;mega-minion;minions;tombstone;zap,209,14,0.48113
archers;bowler;fireball;graveyard;ice-golem;mega-minion;tombstone;zap,127,14,0.61154
archers;bowler;freeze;graveyard;ice-golem;mega-minion;tombstone;zap,2955,382,0.54158
archers;bowler;giant;graveyard;inferno-dragon;poison;tombstone;zap,144,20,0.4932
archers;cannon;electro-wizard;fireball;hog-rider;ice-spirit;knight;zap,168,21,0.5614
archers;cannon;electro-wizard;fireball;hog-rider;knight;the-log;zap,115,18,0.54237
archers;cannon;fireball;goblin-gang;hog-rider;ice-spirit;knight;the-log,459,87,0.52706
archers;cannon;fireball;goblin-gang;hog-rider;knight;the-log;zap,172,30,0.56286
archers;cannon;fireball;goblins;hog-rider;ice-wizard;valkyrie;zap,157,11,0.55
archers;cannon;fireball;goblins;hog-rider;knight;musketeer;zap,395,69,0.58794
archers;cannon;fireball;hog-rider;ice-golem;ice-spirit;mega-minion;the-log,404,67,0.53317
archers;cannon;fireball;hog-rider;ice-golem;ice-spirit;musketeer;zap,167,56,0.56471
archers;cannon;fireball;hog-rider;ice-golem;mega-minion;skeletons;the-log,181,23,0.52989
archers;cannon;fireball;hog-rider;ice-spirit;knight;minions;zap,572,139,0.57043
archers;cannon;fireball;hog-rider;ice-spirit;knight;spear-goblins;zap,154,25,0.54459
archers;cannon;fireball;hog-rider;ice-spirit;knight;the-log;zap,1120,184,0.52983
archers;cannon;fireball;hog-rider;ice-spirit;musketeer;skeletons;the-log,179,40,0.43681
archers;cannon;fireball;hog-rider;ice-spirit;musketeer;the-log;valkyrie,149,31,0.55921
archers;cannon;fireball;hog-rider;ice-wizard;knight;the-log;zap,207,22,0.49286
archers;cannon;fireball;hog-rider;knight;musketeer;skeleton-army;zap,183,15,0.54032
archers;cannon;fireball;hog-rider;minions;musketeer;valkyrie;zap,117,16,0.50417
archers;cannon;fireball;hog-rider;musketeer;the-log;valkyrie;zap,293,38,0.53209
archers;cannon;hog-rider;ice-golem;ice-spirit;poison;skeletons;the-log,155,21,0.48734
archers;clone;fireball;goblin-gang;golem;night-witch;the-log;zap,148,11,0.54636
archers;dark-prince;electro-wizard;fireball;hog-rider;ice-spirit;pekka;zap,117,11,0.52917
archers;dark-prince;fireball;giant;goblin-gang;mega-minion;prince;zap,187,33,0.53947
archers;dark-prince;fireball;giant;goblin-gang;minions;mini-pekka;zap,180,15,0.54645
archers;dark-prince;fireball;giant;mega-minion;minions;prince;zap,199,50,0.54208
archers;dark-prince;giant;mega-minion;mini-pekka;poison;the-log;zap,137,19,0.54643
archers;dark-prince;goblin-gang;golem;mega-minion;night-witch;poison;zap,247,11,0.536
archers;dark-prince;ice-spirit;mega-minion;miner;pekka;poison;zap,554,149,0.4982
archers;electro-wizard;fireball;furnace;hog-rider;pekka;valkyrie;zap,188,18,0.50524
archers;electro-wizard;fireball;hog-rider;ice-spirit;knight;pekka;the-log,123,12,0.51984
archers;electro-wizard;fireball;hog-rider;inferno-tower;mini-pekka;valkyrie;zap,159,20,0.55247
archers;electro-wizard;fireball;hog-rider;knight;pekka;tesla;zap,135,34,0.53623
archers;electro-wizard;fireball;hog-rider;mini-pekka;musketeer;valkyrie;zap,117,13,0.5625
archers;electro-wizard;fireball;hog-rider;minions;pekka;the-log;zap,135,28,0.5471
archers;electro-wizard;fireball;hog-rider;pekka;tesla;the-log;zap,470,30,0.5592
archers;electro-wizard;fireball;hog-rider;pekka;tesla;valkyrie;zap,145,27,0.49324
archers;electro-wizard;furnace;goblins;graveyard;knight;poison;the-log,583,59,0.58276
archers;electro-wizard;furnace;lightning;mega-minion;royal-giant;skeletons;the-log,312,108,0.49524
archers;electro-wizard;furnace;miner;minions;pekka;poison;zap,119,13,0.52869
archers;electro-wizard;goblin-gang;hog-rider;pekka;the-log;wizard;zap,151,14,0.49675
archers;elite-barbarians;elixir-collector;fireball;golem;mega-minion;night-witch;zap,454,38,0.55908
archers;elite-barbarians;elixir-collector;goblin-gang;golem;mega-minion;the-log;zap,135,22,0.48913
archers;elite-barbarians;elixir-collector;golem;ice-golem;mega-minion;the-log;zap,478,35,0.56341
archers;elite-barbarians;executioner;fireball;hog-rider;knight;tornado;zap,139,21,0.57746
archers;elite-barbarians;fireball;fire-spirits;hog-rider;ice-golem;mega-minion;zap,121,14,0.50403
archers;elite-barbarians;fireball;fire-spirits;hog-rider;minions;valkyrie;zap,189,16,0.51562
archers;elite-barbarians;fireball;furnace;goblin-gang;hog-rider;knight;zap,152,16,0.47419
archers;elite-barbarians;fireball;furnace;goblin-gang;hog-rider;minions;zap,286,33,0.58824
archers;elite-barbarians;fireball;furnace;goblin-gang;minions;royal-giant;zap,332,23,0.60149
archers;elite-barbarians;fireball;furnace;hog-rider;knight;musketeer;zap,154,19,0.56051
archers;elite-barbarians;fireball;furnace;hog-rider;valkyrie;witch;zap,207,16,0.4881
archers;elite-barbarians;fireball;furnace;minions;royal-giant;the-log;zap,569,55,0.53409
archers;elite-barbarians;fireball;giant;graveyard;mega-minion;skeleton-army;zap,138,10,0.59929
archers;elite-barbarians;fireball;giant;minions;the-log;witch;zap,116,19,0.56723
archers;elite-barbarians;fireball;giant;minions;the-log;wizard;zap,196,11,0.5
archers;elite-barbarians;fireball;goblin-gang;hog-rider;inferno-tower;knight;zap,122,14,0.488
archers;elite-barbarians;fireball;goblin-gang;hog-rider;knight;minions;zap,434,46,0.54805
